price,date,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated,day,month,year,7_day_avg,30_day_avg
50133.1073963654,,,,,,,,,,,,,0.0,,,,,53683.52981962672,57699.49706028632
48981.4413932161,,,,,,,,,,,,,0.0,,,,,52639.60068437016,57497.775090711955
53978.80554728962,,,,,,,,,,,,,0.0,,,,,52390.692040740745,57435.98800530099
54991.81484262107,,,,,,,,,,,,,0.0,,,,,52204.56150988848,57411.44512246148
54810.6138506792,,,,,,,,,,,,,0.0,,,,,52293.21059386635,57317.30129433493
53596.70402266675,,,,,,,,,,,,,0.0,,,,,52526.23024989229,57148.23715053179
57828.511814425874,,,,,,,,,,,,,0.0,,,,,53474.42840960914,57115.27508139869
57812.96915967891,,,,,,,,,,,,,0.0,,,,,54571.551518653934,57082.33422525872
56600.74528738432,,,,,,,,,,,,,0.0,,,,,55660.0235035351,57000.358175393594
57200.30029871162,,,,,,,,,,,,,0.0,,,,,56120.237039452535,57005.02129686029
53464.37021950372,,,,,,,,,,,,,0.0,,,,,55902.03066472149,56846.20688339487
57432.100227087576,,,,,,,,,,,,,0.0,,,,,56276.52871849411,56803.71637119399
56507.7594398696,,,,,,,,,,,,,0.0,,,,,56692.39377809451,56751.9023950451
57361.56904328887,,,,,,,,,,,,,0.0,,,,,56625.687667932085,56792.807450199245
58771.88168950936,,,,,,,,,,,,,0.0,,,,,56762.67517219358,56816.34870568905
58213.92629374439,,,,,,,,,,,,,0.0,,,,,56993.12960167359,56818.379806742465
55901.66759456145,,,,,,,,,,,,,0.0,,,,,56807.61064393785,56682.455632703895
56928.97235660158,,,,,,,,,,,,,0.0,,,,,57302.553806380405,56580.48734597296
50004.76218313686,,,,,,,,,,,,,0.0,,,,,56241.50551438745,56250.27873224929
49972.79539837245,,,,,,,,,,,,,0.0,,,,,55307.939222745,55796.816044160085
49913.26314398822,,,,,,,,,,,,,0.0,,,,,54243.895522844905,55367.020707873264
46780.90230468821,,,,,,,,,,,,,0.0,,,,,52530.898467870444,54820.39170316004
46585.06413538846,,,,,,,,,,,,,0.0,,,,,50869.63244524818,54323.31718869162
43780.82559782485,,,,,,,,,,,,,0.0,,,,,49138.08358857152,53773.549152720865
43091.04144756922,,,,,,,,,,,,,0.0,,,,,47161.23631585261,53333.61902297278
